Bot,Matches_Played,Match_Wins,Match_Draws,Match_Losses,Match_Win_Rate_%,Match_Efficiency_%,Games_Played,Game_Wins,Game_Draws,Game_Losses,Game_Win_Rate_%,Game_Efficiency_%,Total_Match_Points,Total_Game_Points
AggressiveBot,7,3,4,0,42.86,61.9,21,4,16,1,19.05,44.44,13,28
EndgameBot,7,1,5,1,14.29,38.1,20,2,17,1,10.0,38.33,8,23
FortifyBot,7,1,5,1,14.29,38.1,21,1,19,1,4.76,34.92,8,22
ChessBot,7,0,7,0,0.0,33.33,21,1,19,1,4.76,34.92,7,22
KingValueBot,7,0,7,0,0.0,33.33,21,0,21,0,0.0,33.33,7,21
RandomBot,7,0,6,1,0.0,28.57,20,0,18,2,0.0,30.0,6,18
DynamicBot,7,0,6,1,0.0,28.57,21,0,20,1,0.0,31.75,6,20
PieceMateBot,7,0,6,1,0.0,28.57,21,0,20,1,0.0,31.75,6,20
